family,reference_file,draft_item,covered_in_reference,promotion_gate,recommended_action
software/system,software-system-thesis.md,`background_significance` (1),no,Promotion is blocked by sparse family coverage; follow `acquisition_plan.md` before editing stable references.,hold
software/system,software-system-thesis.md,`cause_analysis` (1),no,Promotion is blocked by sparse family coverage; follow `acquisition_plan.md` before editing stable references.,hold
software/system,software-system-thesis.md,`current_state_diagnosis` (1),no,Promotion is blocked by sparse family coverage; follow `acquisition_plan.md` before editing stable references.,hold
software/system,software-system-thesis.md,`experiment_evaluation` (1),no,Promotion is blocked by sparse family coverage; follow `acquisition_plan.md` before editing stable references.,hold
software/system,software-system-thesis.md,`role:background_significance` (1),no,Promotion is blocked by sparse family coverage; follow `acquisition_plan.md` before editing stable references.,hold
software/system,software-system-thesis.md,`role:cause_analysis` (1),no,Promotion is blocked by sparse family coverage; follow `acquisition_plan.md` before editing stable references.,hold
software/system,software-system-thesis.md,`role:current_state_diagnosis` (1),no,Promotion is blocked by sparse family coverage; follow `acquisition_plan.md` before editing stable references.,hold
software/system,software-system-thesis.md,`role:experiment_evaluation` (1),no,Promotion is blocked by sparse family coverage; follow `acquisition_plan.md` before editing stable references.,hold
control/optimization,control-optimization-thesis.md,`current_state_diagnosis` (3),no,Promotion is blocked by sparse family coverage; follow `acquisition_plan.md` before editing stable references.,hold
control/optimization,control-optimization-thesis.md,`scheme_design` (3),no,Promotion is blocked by sparse family coverage; follow `acquisition_plan.md` before editing stable references.,hold
control/optimization,control-optimization-thesis.md,`background_significance` (2),no,Promotion is blocked by sparse family coverage; follow `acquisition_plan.md` before editing stable references.,hold
control/optimization,control-optimization-thesis.md,`experiment_evaluation` (2),no,Promotion is blocked by sparse family coverage; follow `acquisition_plan.md` before editing stable references.,hold
control/optimization,control-optimization-thesis.md,`role:current_state_diagnosis` (3),no,Promotion is blocked by sparse family coverage; follow `acquisition_plan.md` before editing stable references.,hold
control/optimization,control-optimization-thesis.md,`role:scheme_design` (3),no,Promotion is blocked by sparse family coverage; follow `acquisition_plan.md` before editing stable references.,hold
control/optimization,control-optimization-thesis.md,`topic:algorithm_modeling` (3),no,Promotion is blocked by sparse family coverage; follow `acquisition_plan.md` before editing stable references.,hold
control/optimization,control-optimization-thesis.md,`role:background_significance` (2),no,Promotion is blocked by sparse family coverage; follow `acquisition_plan.md` before editing stable references.,hold
mechanical/manufacturing,mechanical-manufacturing-thesis.md,`current_state_diagnosis` (22),yes,"Before promotion, compare these rules against at least one more legal acquisition batch and confirm the same roles/signals still dominate.",already_covered
mechanical/manufacturing,mechanical-manufacturing-thesis.md,`background_significance` (19),yes,"Before promotion, compare these rules against at least one more legal acquisition batch and confirm the same roles/signals still dominate.",already_covered
mechanical/manufacturing,mechanical-manufacturing-thesis.md,`literature_review` (16),no,"Before promotion, compare these rules against at least one more legal acquisition batch and confirm the same roles/signals still dominate.",review_merge
mechanical/manufacturing,mechanical-manufacturing-thesis.md,`scheme_design` (16),no,"Before promotion, compare these rules against at least one more legal acquisition batch and confirm the same roles/signals still dominate.",review_merge
mechanical/manufacturing,mechanical-manufacturing-thesis.md,`topic:equipment_maintenance` (24),yes,"Before promotion, compare these rules against at least one more legal acquisition batch and confirm the same roles/signals still dominate.",already_covered
mechanical/manufacturing,mechanical-manufacturing-thesis.md,`role:current_state_diagnosis` (22),yes,"Before promotion, compare these rules against at least one more legal acquisition batch and confirm the same roles/signals still dominate.",already_covered
mechanical/manufacturing,mechanical-manufacturing-thesis.md,`topic:algorithm_modeling` (20),no,"Before promotion, compare these rules against at least one more legal acquisition batch and confirm the same roles/signals still dominate.",review_merge
mechanical/manufacturing,mechanical-manufacturing-thesis.md,`role:background_significance` (19),yes,"Before promotion, compare these rules against at least one more legal acquisition batch and confirm the same roles/signals still dominate.",already_covered
